TAXON	PREFIX	RNAH	TPT	TSP2	sexM
Mucor_circinelloides_B8987	G226	1367.8	477.3	305.6	47.0
Mucor_circinelloides_CBS277.49	Mucci2	1357.6	322.3	303.9	51.5
Mucor_indicus_B7402	N157	1464.9	183.0	297.8	47.8
Mucor_irregularis_B50	Y926	1506.8	520.5	368.6	48.5
Mucor_racemosus_B9645	N155	1671.3	39.0	300.4	40.8
Mucor_racemosus_B9738	N156	1671.3	490.2	300.4	48.9
Mucor_velutinous_B5328	G224	1388.8	394.4	310.4	45.0
Rhizomucor_variabilis_B7584	N167	1506.9	520.4	323.9	48.5
Rhizopus_azygosporus_CBS_357.93	CU097	92.6	326.8	268.8	47.0
Rhizopus_delemar_99-880.IGS-99-880.v1	IGS-99-880	2326.2	798.1	260.9	46.9
Rhizopus_delemar_NRRL_21446	G677	2325.4	42.9	260.9	46.9
Rhizopus_delemar_NRRL_21447	G676	2331.7	42.9	260.9	46.9
Rhizopus_delemar_NRRL_21477	G674	2045.5	42.9	260.9	147.5
Rhizopus_delemar_NRRL_21789	G672	541.8	33.6	260.9	43.8
Rhizopus_microsporus_ATCC_11559	Rhimi_ATCC11559_1	1693.1	311.1	268.8	45.5
Rhizopus_microsporus_var_chinensis_CCTCCM201021	CCTCCM201021	1692.7	155.7	265.1	43.2
Rhizopus_microsporus_var_rhizopodiformis_B7455	N166	1693.1	312.3	270.3	154.1
Rhizopus_oryzae_97-1192	G679	2442.0	817.3	264.0	46.5
Rhizopus_oryzae_99-133	G671	2436.7	42.4	264.0	46.5
Rhizopus_oryzae_99-892	G675	2215.0	807.0	259.7	404.5
Rhizopus_oryzae_B7407	G225	2381.4	42.9	261.3	233.8
Rhizopus_oryzae_HUMC_02	G673	2309.6	42.9	261.3	45.3
Rhizopus_oryzae_NRRL_13440	G668	2406.4	33.4	261.3	45.3
Rhizopus_oryzae_NRRL_18148	G669	2434.3	72.5	264.0	46.5
Rhizopus_oryzae_NRRL_21396	G670	2403.4	97.1	261.3	45.3
Rhizopus_stolonifer_B9770	G232	1781.4	209.2	258.4	47.8
Rhizopus_stolonifer_LSU_93-RS-03	CU098	1472.3	479.8	258.4	52.0
